,Round,Time,Color,Move,Black,White,Depth,Cost,Score
2175,41,5.237, X ,"(E, 8)",20,25,6,hybrid,-5.0
2176,42,4.17, O ,"(A, 6)",15,31,6,min,16.0
2177,43,2.025, X ,"(C, 8)",21,26,6,hybrid,-5.0
2178,44,1.553, O ,"(H, 2)",18,30,6,min,12.0
2179,45,1.249, X ,"(G, 7)",22,27,6,hybrid,-5.0
2180,46,1.164, O ,"(H, 7)",21,29,6,min,8.0
2181,47,0.761, X ,"(G, 8)",23,28,6,hybrid,-5.0
2182,48,0.458, O ,"(D, 8)",18,34,6,min,16.0
2183,49,0.49, X ,"(G, 1)",24,29,6,hybrid,-5.0
2184,50,0.526, O ,"(H, 8)",20,34,6,min,14.0
2185,51,0.354, X ,"(A, 7)",22,33,6,hybrid,-11.0
2186,52,0.234, O ,"(A, 8)",21,35,6,min,14.0
2187,53,0.152, X ,"(B, 8)",24,33,6,hybrid,-9.0
2188,54,0.04, O ,"(B, 2)",20,38,6,min,18.0
2189,55,0.017, X ,"(G, 2)",22,37,6,hybrid,-15.0
2190,56,0.008, O ,"(B, 7)",18,42,6,min,24.0
2191,57,0.002, X ,"(B, 1)",25,36,6,hybrid,-11.0
2192,58,0.001, O ,"(A, 1)",24,38,6,min,14.0
2193,59,0.001, X ,"(A, 2)",29,34,6,hybrid,-5.0
2194,60,0.0, O ,"(H, 1)",21,43,6,min,22.0
2195,0,0.0,,,2,2,7,,
2196,1,0.795, X ,"(E, 3)",4,1,7,max,3.0
2197,2,1.489, O ,"(D, 3)",3,3,7,min,0.0
2198,3,2.792, X ,"(C, 2)",5,2,7,max,3.0
2199,4,3.289, O ,"(D, 2)",4,4,7,min,0.0
2200,5,8.537, X ,"(C, 5)",7,2,7,max,5.0
2201,6,2.887, O ,"(F, 3)",6,4,7,min,-2.0
2202,7,3.827, X ,"(E, 2)",9,2,7,max,7.0
2203,8,8.827, O ,"(D, 1)",7,5,7,min,-2.0
2204,9,4.778, X ,"(C, 1)",9,4,7,max,5.0
2205,10,6.468, O ,"(B, 3)",8,6,7,min,-2.0
2206,11,8.773, X ,"(E, 1)",11,4,7,max,7.0
2207,12,10.532, O ,"(F, 2)",9,7,7,min,-2.0
2208,13,13.068, X ,"(C, 3)",13,4,7,max,9.0
2209,14,6.524, O ,"(C, 4)",12,6,7,min,-6.0
2210,15,15.407, X ,"(A, 3)",14,5,7,max,9.0
2211,16,14.698, O ,"(F, 4)",12,8,7,min,-4.0
2212,17,15.802, X ,"(F, 5)",15,6,7,max,9.0
2213,18,13.148, O ,"(B, 6)",14,8,7,min,-6.0
2214,19,13.756, X ,"(F, 1)",19,4,7,max,15.0
2215,20,8.134, O ,"(D, 6)",18,6,7,min,-12.0
2216,21,17.981, X ,"(B, 4)",21,4,7,max,17.0
2217,22,14.392, O ,"(G, 5)",19,7,7,min,-12.0
2218,23,26.593, X ,"(G, 6)",21,6,7,max,15.0
2219,24,24.455, O ,"(G, 3)",20,8,7,min,-12.0
2220,25,33.798, X ,"(H, 6)",23,6,7,max,17.0
2221,26,19.168, O ,"(H, 5)",21,9,7,min,-12.0
2222,27,17.441, X ,"(H, 4)",24,7,7,max,17.0
2223,28,18.941, O ,"(B, 2)",22,10,7,min,-12.0
2224,29,19.587, X ,"(F, 6)",25,8,7,max,17.0
2225,30,13.488, O ,"(G, 4)",23,11,7,min,-12.0
2226,31,11.318, X ,"(H, 3)",25,10,7,max,15.0
2227,32,9.942, O ,"(B, 1)",23,13,7,min,-10.0
2228,33,11.402, X ,"(A, 1)",29,8,7,max,21.0
2229,34,7.452, O ,"(B, 5)",28,10,7,min,-18.0
2230,35,6.651, X ,"(A, 6)",32,7,7,max,25.0
2231,36,5.871, O ,"(E, 6)",31,9,7,min,-22.0
2232,37,6.144, X ,"(C, 7)",35,6,7,max,29.0
2233,38,6.61, O ,"(C, 6)",34,8,7,min,-26.0
2234,39,5.19, X ,"(F, 7)",37,6,7,max,31.0
2235,40,7.013, O ,"(A, 5)",36,8,7,min,-28.0
2236,41,3.098, X ,"(A, 4)",38,7,7,max,31.0
2237,42,7.48, O ,"(E, 7)",36,10,7,min,-26.0
2238,43,4.575, X ,"(E, 8)",41,6,7,max,35.0
2239,44,5.323, O ,"(C, 8)",40,8,7,min,-32.0
2240,45,2.017, X ,"(B, 7)",44,5,7,max,39.0
2241,46,2.335, O ,"(A, 2)",43,7,7,min,-36.0
2242,47,1.552, X ,"(D, 7)",46,5,7,max,41.0
2243,48,1.908, O ,"(G, 7)",42,10,7,min,-32.0
2244,49,0.894, X ,"(H, 8)",49,4,7,max,45.0
2245,50,0.283, O ,"(G, 8)",44,10,7,min,-34.0
2246,51,0.08, X ,"(F, 8)",47,8,7,max,39.0
2247,52,0.152, O ,"(A, 8)",45,11,7,min,-34.0
2248,53,0.066, X ,"(A, 7)",47,10,7,max,37.0
2249,54,0.027, O ,"(H, 7)",43,15,7,min,-28.0
2250,55,0.023, O ,"(B, 8)",39,20,7,min,-19.0
2251,56,0.007, O ,"(G, 2)",32,28,7,min,-4.0
2252,57,0.005, X ,"(H, 2)",39,22,7,max,17.0
2253,58,0.002, O ,"(H, 1)",33,29,7,min,-4.0
2254,59,0.0, X ,"(G, 1)",35,28,7,max,7.0
2255,60,0.001, O ,"(D, 8)",30,34,7,min,4.0
2256,0,0.0,,,2,2,7,,
2257,1,0.815, X ,"(E, 3)",4,1,7,max,3.0
2258,2,1.487, O ,"(D, 3)",3,3,7,hybrid,0.0
2259,3,2.787, X ,"(C, 2)",5,2,7,max,3.0
2260,4,3.203, O ,"(D, 2)",4,4,7,hybrid,0.0
2261,5,8.414, X ,"(C, 5)",7,2,7,max,5.0
2262,6,2.81, O ,"(F, 3)",6,4,7,hybrid,-2.0
2263,7,3.772, X ,"(E, 2)",9,2,7,max,7.0
2264,8,8.624, O ,"(D, 1)",7,5,7,hybrid,-2.0
2265,9,4.682, X ,"(C, 1)",9,4,7,max,5.0
2266,10,6.348, O ,"(B, 3)",8,6,7,hybrid,-2.0
2267,11,8.693, X ,"(E, 1)",11,4,7,max,7.0
2268,12,10.415, O ,"(F, 2)",9,7,7,hybrid,-2.0
2269,13,12.871, X ,"(C, 3)",13,4,7,max,9.0
2270,14,6.521, O ,"(C, 4)",12,6,7,hybrid,-6.0
2271,15,15.033, X ,"(A, 3)",14,5,7,max,9.0
2272,16,14.29, O ,"(F, 4)",12,8,7,hybrid,-4.0
