,Round,Time,Increasing,Player,Score,Depth
607,58,0.002,True,First,16,5
608,59,0.001,False,First,9,5
609,60,0.001,True,First,26,5
610,0,0.0,,Second,0,6
611,1,0.411,True,Second,3,6
612,2,0.515,False,Second,0,6
613,3,0.785,True,Second,3,6
614,4,1.006,False,Second,-2,6
615,5,1.246,True,Second,1,6
616,6,3.867,False,Second,-2,6
617,7,2.497,True,Second,1,6
618,8,3.226,False,Second,-2,6
619,9,4.961,True,Second,1,6
620,10,4.863,False,Second,-2,6
621,11,5.109,True,Second,1,6
622,12,6.22,False,Second,-2,6
623,13,10.032,True,Second,1,6
624,14,6.652,False,Second,-2,6
625,15,12.84,True,Second,1,6
626,16,5.849,False,Second,-8,6
627,17,9.485,True,Second,-3,6
628,18,8.398,False,Second,-8,6
629,19,11.582,True,Second,-5,6
630,20,6.275,False,Second,-8,6
631,21,15.998,True,Second,-5,6
632,22,18.196,False,Second,-12,6
633,23,15.809,True,Second,-5,6
634,24,10.862,False,Second,-12,6
635,25,16.629,True,Second,-9,6
636,26,11.437,False,Second,-12,6
637,27,17.157,True,Second,-9,6
638,28,13.824,False,Second,-16,6
639,29,11.316,True,Second,-11,6
640,30,7.845,False,Second,-14,6
641,31,14.472,True,Second,-11,6
642,32,6.343,False,Second,-14,6
643,33,12.92,True,Second,-5,6
644,34,13.216,False,Second,-10,6
645,35,12.345,True,Second,-5,6
646,36,6.4,False,Second,-12,6
647,37,11.859,True,Second,-1,6
648,38,6.802,False,Second,-8,6
649,39,6.334,True,Second,-5,6
650,40,5.445,False,Second,-12,6
651,41,4.483,True,Second,-5,6
652,42,3.616,False,Second,-16,6
653,43,1.758,True,Second,-5,6
654,44,1.363,False,Second,-12,6
655,45,1.102,True,Second,-5,6
656,46,0.829,False,Second,-8,6
657,47,2.397,True,Second,3,6
658,48,0.641,False,Second,-10,6
659,49,3.631,True,Second,-3,6
660,50,0.344,False,Second,-6,6
661,51,0.897,True,Second,-3,6
662,52,0.203,False,Second,-6,6
663,53,0.281,True,Second,-1,6
664,54,0.029,False,Second,-10,6
665,55,0.015,True,Second,-7,6
666,56,0.004,False,Second,-12,6
667,57,0.003,True,Second,-1,6
668,58,0.001,False,Second,-6,6
669,59,0.0,True,Second,-3,6
670,60,0.001,False,Second,-12,6
671,0,0.0,,First,0,6
672,1,0.402,False,First,-3,6
673,2,0.491,True,First,0,6
674,3,0.791,False,First,-3,6
675,4,1.001,True,First,2,6
676,5,1.261,False,First,-1,6
677,6,3.844,True,First,2,6
678,7,2.488,False,First,-1,6
679,8,3.176,True,First,2,6
680,9,4.89,False,First,-1,6
681,10,4.788,True,First,2,6
682,11,5.154,False,First,-1,6
683,12,6.124,True,First,2,6
684,13,9.903,False,First,-1,6
